"","State","CD","HRCper"
"1","01","01",0.7
"2","01","02",0.4
"3","01","03",0.2
"4","01","04",0.2
"5","01","05",0
"6","01","06",0
"7","01","07",0.5
"8","02","01",0
"9","04","01",0.4
"10","04","02",0.6
"11","04","03",0.5
"12","04","04",0.2
"13","04","05",0.7
"14","04","06",0.8
"15","04","07",0.7
"16","04","08",0.2
"17","04","09",0.5
"18","05","01",0
"19","05","02",0.4
"20","05","03",0.4
"21","05","04",0
"22","06","01",0.4
"23","06","02",0
"24","06","03",0.4
"25","06","04",0.3
"26","06","05",0.8
"27","06","06",0
"28","06","07",0
"29","06","08",0.2
"30","06","09",0.7
"31","06","10",0.7
"32","06","11",0.6
"33","06","12",0
"34","06","13",0
"35","06","14",0
"36","06","15",0
"37","06","16",0
"38","06","17",0
"39","06","18",0
"40","06","19",0
"41","06","20",0.8
"42","06","21",0.7
"43","06","22",0.7
"44","06","23",0.3
"45","06","24",0.3
"46","06","25",0.5
"47","06","26",0.5
"48","06","27",0
"49","06","28",0
"50","06","29",0
"51","06","30",0.9
"52","06","31",0.7
"53","06","32",0
"54","06","33",0.5
"55","06","34",0
"56","06","35",0
"57","06","36",0.8
"58","06","37",0
"59","06","38",0.6
"60","06","39",0.5
"61","06","40",0.5
"62","06","41",0
"63","06","42",0
"64","06","43",0
"65","06","44",0.5
"66","06","45",0.7
"67","06","46",0.3
"68","06","47",0.6
"69","06","48",0.3
"70","06","49",0.5
"71","06","50",0.5
"72","06","51",0.8
"73","06","52",0.7
"74","06","53",0
"75","08","01",0.9
"76","08","02",0.3
"77","08","03",0
"78","08","04",0.5
"79","08","05",0.4
"80","08","06",0
"81","08","07",0.3
"82","09","01",0.5
"83","09","02",0.4
"84","09","03",0.7
"85","09","04",0.4
"86","09","05",0.5
"87","10","01",0.7
"88","11","01",0
"89","12","01",0
"90","12","02",0.3
"91","12","03",0.7
"92","12","04",0.5
"93","12","05",0
"94","12","06",0.2
"95","12","07",0.6
"96","12","08",0.2
"97","12","09",0.5
"98","12","10",0.5
"99","12","12",0.7
"100","12","13",0
"101","12","14",0
"102","12","15",0
"103","12","16",0
"104","12","17",0.6
"105","12","18",0.3
"106","12","19",0.1
"107","12","20",0
"108","12","21",0.2
"109","12","23",0.8
"110","12","24",0.7
"111","12","25",0
"112","12","26",0.3
"113","12","27",0.8
"114","13","01",0
"115","13","02",0.8
"116","13","03",0
"117","13","04",0.7
"118","13","05",0
"119","13","06",0.3
"120","13","07",0.4
"121","13","08",0.8
"122","13","09",0.2
"123","13","10",0
"124","13","11",0.4
"125","13","12",0.8
"126","13","13",0.5
"127","13","14",0.5
"128","15","01",0
"129","15","02",0.3
"130","16","01",0.3
"131","16","02",0.7
"132","17","01",0
"133","17","02",0
"134","17","03",0.5
"135","17","05",0.8
"136","17","06",0.5
"137","17","07",0.9
"138","17","08",0.5
"139","17","09",0.6
"140","17","10",0
"141","17","11",0.9
"142","17","12",0.4
"143","17","13",0.4
"144","17","14",0
"145","17","15",0.5
"146","17","16",0.4
"147","17","17",0.5
"148","17","18",0.4
"149","18","01",0.3
"150","18","02",0.3
"151","18","03",0.8
"152","18","04",0
"153","18","05",0.7
"154","18","06",0.5
"155","18","07",0.7
"156","18","08",0.2
"157","18","09",0.2
"158","19","01",0.8
"159","19","02",0.7
"160","19","03",0.3
"161","19","04",0
"162","20","01",0.3
"163","20","02",0.4
"164","20","03",0.6
"165","20","04",0.5
"166","21","01",0.1
"167","21","02",0.6
"168","21","03",0.8
"169","21","04",0.3
"170","21","05",0.3
"171","21","06",0.5
"172","22","01",0.3
"173","22","02",0.5
"174","22","03",0
"175","22","04",0.5
"176","22","05",0
"177","22","06",0.5
"178","23","01",0.2
"179","23","02",0.3
"180","24","01",0.4
"181","24","02",0.7
"182","24","03",0.8
"183","24","04",0.5
"184","24","05",0.6
"185","24","06",0.7
"186","24","07",0.7
"187","24","08",0.5
"188","25","01",0.6
"189","25","02",0.4
"190","25","03",0
"191","25","04",0
"192","25","05",0
"193","25","06",0.7
"194","25","07",0.9
"195","25","08",0.6
"196","25","09",0.8
"197","26","01",0.4
"198","26","02",0.5
"199","26","03",0.6
"200","26","04",0.7
"201","26","05",0.6
"202","26","06",0.5
"203","26","07",0.8
"204","26","08",0.3
"205","26","09",0.8
"206","26","10",0.3
"207","26","11",0.2
"208","26","12",0.8
"209","26","13",0.8
"210","26","14",0.8
"211","27","01",0.3
"212","27","02",0.2
"213","27","03",0.6
"214","27","04",0.5
"215","27","05",0.8
"216","27","06",0.4
"217","27","07",0.6
"218","27","08",0.8
"219","28","01",0
"220","28","02",0.8
"221","28","03",0.5
"222","28","04",0.7
"223","29","01",0
"224","29","02",0.9
