"","State","CD","HRCper","DJTper"
"1","01","01",0.7,0.3
"2","01","02",0.4,0.6
"3","01","03",0.2,0.8
"4","01","04",0.2,0.8
"5","01","05",0,0
"6","01","06",0,0
"7","01","07",0.5,0.5
"8","02","00",0,0
"9","04","01",0.4,0.6
"10","04","02",0.6,0.4
"11","04","03",0.5,0.5
"12","04","04",0.2,0.8
"13","04","05",0.7,0.3
"14","04","06",0.8,0.2
"15","04","07",0.7,0.3
"16","04","08",0.2,0.8
"17","04","09",0.5,0.5
"18","05","01",0,0
"19","05","02",0.4,0.6
"20","05","03",0.4,0.6
"21","05","04",0,0
"22","06","01",0.4,0.6
"23","06","02",0,0
"24","06","03",0.4,0.6
"25","06","04",0.3,0.7
"26","06","05",0.8,0.2
"27","06","06",0,0
"28","06","07",0,0
"29","06","08",0.2,0.8
"30","06","09",0.7,0.3
"31","06","10",0.7,0.3
"32","06","11",0.6,0.4
"33","06","12",0,0
"34","06","13",0,0
"35","06","14",0,0
"36","06","15",0,0
"37","06","16",0,0
"38","06","17",0,0
"39","06","18",0,0
"40","06","19",0,0
"41","06","20",0.8,0.2
"42","06","21",0.7,0.3
"43","06","22",0.7,0.3
"44","06","23",0.3,0.7
"45","06","24",0.3,0.7
"46","06","25",0.5,0.5
"47","06","26",0.5,0.5
"48","06","27",0,0
"49","06","28",0,0
"50","06","29",0,0
"51","06","30",0.9,0.1
"52","06","31",0.7,0.3
"53","06","32",0,0
"54","06","33",0.5,0.5
"55","06","34",0,0
"56","06","35",0,0
"57","06","36",0.8,0.2
"58","06","37",0,0
"59","06","38",0.6,0.4
"60","06","39",0.5,0.5
"61","06","40",0.5,0.5
"62","06","41",0,0
"63","06","42",0,0
"64","06","43",0,0
"65","06","44",0.5,0.5
"66","06","45",0.7,0.3
"67","06","46",0.3,0.7
"68","06","47",0.6,0.4
"69","06","48",0.3,0.7
"70","06","49",0.5,0.5
"71","06","50",0.5,0.5
"72","06","51",0.8,0.2
"73","06","52",0.7,0.3
"74","06","53",0,0
"75","08","01",0.9,0.1
"76","08","02",0.3,0.7
"77","08","03",0,0
"78","08","04",0.5,0.5
"79","08","05",0.4,0.6
"80","08","06",0,0
"81","08","07",0.3,0.7
"82","09","01",0.5,0.5
"83","09","02",0.4,0.6
"84","09","03",0.7,0.3
"85","09","04",0.4,0.6
"86","09","05",0.5,0.5
"87","10","00",0.7,0.3
"88","11","01",0,0
"89","12","01",0,0
"90","12","02",0.3,0.7
"91","12","03",0.7,0.3
"92","12","04",0.5,0.5
"93","12","05",0,0
"94","12","06",0.2,0.8
"95","12","07",0.6,0.4
"96","12","08",0.2,0.8
"97","12","09",0.5,0.5
"98","12","10",0.5,0.5
"99","12","12",0.7,0.3
"100","12","13",0,0
"101","12","14",0,0
"102","12","15",0,0
"103","12","16",0,0
"104","12","17",0.6,0.4
"105","12","18",0.3,0.7
"106","12","19",0.1,0.9
"107","12","20",0,0
"108","12","21",0.2,0.8
"109","12","23",0.8,0.2
"110","12","24",0.7,0.3
"111","12","25",0,0
"112","12","26",0.3,0.7
"113","12","27",0.8,0.2
"114","13","01",0,0
"115","13","02",0.8,0.2
"116","13","03",0,0
"117","13","04",0.7,0.3
"118","13","05",0,0
"119","13","06",0.3,0.7
"120","13","07",0.4,0.6
"121","13","08",0.8,0.2
"122","13","09",0.2,0.8
"123","13","10",0,0
"124","13","11",0.4,0.6
"125","13","12",0.8,0.2
"126","13","13",0.5,0.5
"127","13","14",0.5,0.5
"128","15","01",0,0
"129","15","02",0.3,0.7
"130","16","01",0.3,0.7
"131","16","02",0.7,0.3
"132","17","01",0,0
"133","17","02",0,0
"134","17","03",0.5,0.5
"135","17","05",0.8,0.2
"136","17","06",0.5,0.5
"137","17","07",0.9,0.1
"138","17","08",0.5,0.5
"139","17","09",0.6,0.4
"140","17","10",0,0
"141","17","11",0.9,0.1
